PO Number,PO Date,Product,Quantity,Due Date
3863,2022-03-18,Banana,80,2022-05-24
7114,2022-04-01,Orange,87,2022-07-09
3394,2022-10-28,Grapes,77,2023-01-17
9941,2022-08-15,Banana,76,2022-11-03
7905,2022-11-12,Banana,87,2023-02-07
9063,2022-07-26,Grapes,91,2022-10-01
5204,2022-11-25,Apple,69,2023-02-03
3540,2022-06-17,Apple,80,2022-08-23
7984,2022-04-08,Orange,67,2022-07-08
2264,2022-07-24,Grapes,67,2022-10-25
7666,2022-12-22,Orange,62,2023-02-22
8596,2022-03-03,Orange,75,2022-05-06
9599,2022-07-01,Orange,87,2022-09-21
5500,2022-09-01,Grapes,98,2022-11-10
4859,2022-10-23,Banana,85,2023-01-27
7167,2022-11-04,Orange,95,2023-02-06
4929,2022-09-05,Orange,96,2022-11-22
6091,2022-12-20,Apple,58,2023-03-30
5328,2022-12-07,Apple,62,2023-02-11
1058,2022-10-08,Orange,79,2023-01-04
5293,2022-09-18,Orange,94,2022-11-08
6241,2022-09-28,Grapes,97,2022-11-22
9424,2022-04-09,Banana,61,2022-06-20
9512,2022-10-14,Apple,100,2023-01-04
8562,2022-12-21,Banana,98,2023-02-22
4184,2022-02-27,Banana,91,2022-05-20
5057,2022-10-22,Banana,90,2023-01-22
1050,2022-12-06,Grapes,72,2023-02-23
9484,2022-12-08,Orange,79,2023-03-01
2137,2022-09-15,Orange,94,2022-12-20
3497,2022-09-25,Banana,70,2022-12-09
5729,2022-04-18,Orange,77,2022-07-01
2494,2022-11-28,Apple,98,2023-02-19
6090,2022-10-22,Grapes,79,2023-01-16
6302,2022-05-22,Banana,84,2022-07-12
8459,2022-04-20,Apple,91,2022-07-14
2820,2022-05-25,Orange,78,2022-08-05
5675,2022-08-01,Apple,90,2022-10-02
3048,2022-03-21,Banana,79,2022-06-01
5174,2022-11-19,Orange,65,2023-02-04
1944,2022-08-08,Apple,81,2022-10-11
3027,2022-11-28,Banana,89,2023-02-28
5180,2022-04-26,Apple,54,2022-07-24
7312,2022-07-22,Apple,55,2022-09-21
3223,2022-07-14,Orange,91,2022-10-14
6133,2022-06-20,Banana,95,2022-09-18
9957,2022-03-14,Grapes,57,2022-06-17
