PO Number,PO Date,Product,Quantity,Due Date
8793,2022-10-14,Orange,9,2022-12-09
9973,2022-03-02,Orange,6,2022-05-27
3559,2022-12-11,Apple,2,2023-03-18
8204,2022-11-17,Banana,3,2023-01-08
7064,2022-07-15,Apple,5,2022-10-15
3771,2022-11-02,Orange,9,2023-01-07
1879,2022-09-10,Orange,2,2022-12-02
1325,2022-05-16,Apple,5,2022-07-07
2825,2022-11-02,Banana,4,2023-01-15
6183,2022-03-19,Banana,7,2022-06-26
6865,2022-01-08,Orange,7,2022-03-23
8804,2022-07-02,Apple,7,2022-08-22
6686,2022-10-05,Apple,9,2022-12-09
7021,2022-03-27,Apple,4,2022-06-03
7030,2022-02-19,Apple,2,2022-05-12
2201,2022-10-13,Apple,5,2022-12-26
2404,2022-08-10,Apple,7,2022-09-29
2853,2022-07-16,Banana,5,2022-10-11
1456,2022-06-24,Banana,1,2022-09-23
3260,2022-09-24,Banana,1,2022-11-13
2166,2022-08-17,Orange,10,2022-10-26
3454,2022-10-12,Apple,2,2022-12-07
7322,2022-11-10,Orange,10,2023-01-11
5349,2022-09-28,Orange,2,2023-01-01
1699,2022-04-23,Banana,9,2022-08-01
3751,2022-07-23,Apple,2,2022-10-26
9550,2022-05-01,Banana,8,2022-07-02
8786,2022-01-10,Orange,5,2022-04-16
3424,2022-01-03,Apple,2,2022-02-22
8806,2022-12-28,Orange,10,2023-03-05
1114,2022-02-22,Orange,10,2022-05-07
5334,2022-11-09,Apple,3,2023-01-22
8181,2022-02-24,Apple,8,2022-05-12
5438,2022-04-19,Orange,7,2022-07-27
9013,2022-03-13,Orange,8,2022-05-20
8259,2022-06-02,Apple,5,2022-09-06
4022,2022-11-22,Orange,1,2023-02-26
1378,2022-11-26,Banana,9,2023-01-27
2930,2022-08-22,Banana,5,2022-11-09
4296,2022-11-11,Apple,6,2023-02-18
3366,2022-09-04,Orange,8,2022-11-16
6942,2022-07-12,Banana,10,2022-09-05
7028,2022-04-04,Apple,8,2022-05-24
1518,2022-10-02,Apple,3,2022-12-29
5315,2022-07-19,Banana,2,2022-10-22
5828,2022-05-20,Orange,2,2022-07-21
5402,2022-08-26,Apple,1,2022-11-29
2692,2022-12-25,Apple,3,2023-02-22
1102,2022-12-11,Orange,8,2023-03-18
2186,2022-05-23,Orange,1,2022-07-25
7578,2022-11-16,Orange,1,2023-02-21
7164,2022-11-08,Orange,5,2023-02-08
6614,2022-03-26,Banana,4,2022-05-24
1890,2022-02-19,Apple,8,2022-04-30
3892,2022-02-19,Orange,6,2022-05-29
3112,2022-04-27,Banana,1,2022-07-19
1839,2022-03-08,Orange,5,2022-06-03
2795,2022-01-27,Orange,4,2022-03-27
4661,2022-01-04,Banana,4,2022-03-30
3802,2022-11-11,Banana,9,2023-02-03
2571,2022-08-19,Banana,5,2022-10-24
5894,2022-09-19,Apple,5,2022-12-09
1641,2022-02-22,Orange,2,2022-05-07
7721,2022-05-15,Banana,3,2022-08-07
7387,2022-11-23,Orange,5,2023-02-25
5234,2022-02-07,Orange,6,2022-05-13
1995,2022-09-16,Banana,7,2022-11-22
3181,2022-11-05,Banana,6,2023-02-12
6772,2022-05-06,Apple,3,2022-07-09
6725,2022-02-05,Banana,2,2022-05-14
2839,2022-04-10,Apple,9,2022-06-15
7465,2022-01-14,Banana,8,2022-03-14
2390,2022-06-20,Apple,2,2022-08-31
1399,2022-03-01,Banana,3,2022-06-05
7149,2022-01-19,Banana,4,2022-03-27
1334,2022-10-11,Banana,1,2023-01-05
6832,2022-05-05,Apple,2,2022-07-11
3769,2022-04-08,Orange,1,2022-06-06
4883,2022-04-27,Apple,3,2022-07-08
9366,2022-03-12,Banana,3,2022-06-02
7118,2022-03-15,Apple,5,2022-06-17
7737,2022-02-05,Orange,1,2022-04-28
6995,2022-04-09,Orange,7,2022-06-17
3868,2022-01-22,Orange,7,2022-04-29
3964,2022-03-23,Banana,2,2022-06-29
8561,2022-02-11,Banana,9,2022-05-03
1864,2022-05-23,Orange,1,2022-08-07
1452,2022-01-28,Orange,9,2022-05-05
3988,2022-02-26,Orange,5,2022-05-04
